state,survey_year,dataset_version,fac_toc_count,fac_om_sites,fac_labs,fac_resource_centers,fac_testbed_presence,fac_testbed_extent,fac_staff_support,evidence_level,source_notes
Texas,2000,facility_baseline_mock_v1,4,5,1,1,Closed-course or limited pilot site,2 pilot intersections,Adequate for current needs,SourcedBaseline,"Includes established Texas traffic management centers and statewide ITS support; annual counts are conservative baseline estimates."
Texas,2001,facility_baseline_mock_v1,4,5,1,1,Closed-course or limited pilot site,2 pilot intersections,Adequate for current needs,SourcedBaseline,"Maintains early-2000s baseline because no comprehensive annual statewide facility inventory was found."
Texas,2002,facility_baseline_mock_v1,4,5,1,1,Closed-course or limited pilot site,2 pilot intersections,Adequate for current needs,SourcedBaseline,"Maintains early-2000s baseline because no comprehensive annual statewide facility inventory was found."
Texas,2003,facility_baseline_mock_v1,5,6,1,1,Closed-course or limited pilot site,3 pilot intersections,Adequate for current needs,Estimated,"Adds one regional operations capability to reflect continued ITS/TMS expansion in major Texas metros."
Texas,2004,facility_baseline_mock_v1,5,6,1,1,Closed-course or limited pilot site,3 pilot intersections,Adequate for current needs,Estimated,"Interpolated from regional ITS expansion and statewide traffic management program support."
Texas,2005,facility_baseline_mock_v1,5,6,1,1,Closed-course or limited pilot site,3 pilot intersections,Adequate for current needs,Estimated,"Interpolated from regional ITS expansion and statewide traffic management program support."
Texas,2006,facility_baseline_mock_v1,5,7,1,1,Closed-course or limited pilot site,4 pilot intersections,Adequate for current needs,Estimated,"O&M support grows as ITS field device deployments expand across urban districts."
Texas,2007,facility_baseline_mock_v1,6,7,1,1,Closed-course or limited pilot site,4 pilot intersections,Adequate for current needs,Estimated,"Adds one regional traffic management capability for large-metro operations."
Texas,2008,facility_baseline_mock_v1,6,8,1,1,Closed-course or limited pilot site,5 pilot intersections,Adequate for current needs,Estimated,"Conservative annual growth in O&M support sites and field-device maintenance."
Texas,2009,facility_baseline_mock_v1,6,8,1,1,Closed-course or limited pilot site,5 pilot intersections,Adequate for current needs,Estimated,"Conservative annual growth in O&M support sites and field-device maintenance."
Texas,2010,facility_baseline_mock_v1,6,8,2,1,Closed-course or limited pilot site,5 pilot intersections,Strong and scalable,Estimated,"Adds stronger research and operational support as ITS data and TSMO practices mature."
Texas,2011,facility_baseline_mock_v1,7,9,2,1,Closed-course or limited pilot site,6 pilot intersections,Strong and scalable,Estimated,"Regional operations capability and O&M coverage increase with metropolitan ITS programs."
Texas,2012,facility_baseline_mock_v1,7,9,2,1,Closed-course or limited pilot site,6 pilot intersections,Strong and scalable,Estimated,"Regional operations capability and O&M coverage increase with metropolitan ITS programs."
Texas,2013,facility_baseline_mock_v1,7,9,2,1,Closed-course or limited pilot site,7 pilot intersections,Strong and scalable,Estimated,"Maintains conservative facility capacity with modest pilot-environment growth."
Texas,2014,facility_baseline_mock_v1,7,10,2,1,Closed-course or limited pilot site,7 pilot intersections,Strong and scalable,Estimated,"O&M support expands with larger field ITS footprint."
Texas,2015,facility_baseline_mock_v1,8,10,2,1,Open-road pilot corridor,8 corridor miles,Strong and scalable,ProgramEraEstimate,"CAV and smart-corridor pilot era begins; open-road testing is modeled conservatively."
Texas,2016,facility_baseline_mock_v1,8,10,2,2,Open-road pilot corridor,8 corridor miles,Strong and scalable,ProgramEraEstimate,"Adds a second research/resource-center contribution for connected-vehicle and TSMO support."
Texas,2017,facility_baseline_mock_v1,8,11,2,2,Open-road pilot corridor,9 corridor miles,Strong and scalable,ProgramEraEstimate,"Open-road pilot coverage and O&M support increase gradually."
Texas,2018,facility_baseline_mock_v1,8,11,3,2,Open-road pilot corridor,9 corridor miles,Strong and scalable,ProgramEraEstimate,"Adds additional lab/simulation capability for automated and connected vehicle testing."
Texas,2019,facility_baseline_mock_v1,9,11,3,2,Open-road pilot corridor,10 corridor miles,Strong and scalable,ProgramEraEstimate,"Large-metro traffic operations and pilot-corridor capacity continue to mature."
Texas,2020,facility_baseline_mock_v1,9,12,3,2,Both closed and open test environments,12 corridor miles,Advanced with dedicated specialty teams,ProgramEraEstimate,"Models mature facility capacity with both closed and open testing environments."
Texas,2021,facility_baseline_mock_v1,9,12,3,2,Both closed and open test environments,12 corridor miles,Advanced with dedicated specialty teams,ProgramEraEstimate,"Maintains mature facility capacity during recent connected and automated mobility program era."
Texas,2022,facility_baseline_mock_v1,9,12,3,2,Both closed and open test environments,14 corridor miles,Advanced with dedicated specialty teams,ProgramEraEstimate,"Maintains mature statewide facility capacity with modest pilot-corridor expansion."
Texas,2023,facility_baseline_mock_v1,9,12,3,2,Both closed and open test environments,15 corridor miles,Advanced with dedicated specialty teams,ProgramEraEstimate,"Current-year mock baseline with mature statewide operations, O&M, research, and pilot capacity."
New Jersey,2000,facility_baseline_mock_v1,2,2,0,0,No dedicated testbed,0 corridor miles,Adequate for current needs,SourcedBaseline,"NJDOT traffic operations centers existed before the model period; lab and testbed entries are kept conservative."
New Jersey,2001,facility_baseline_mock_v1,2,2,0,0,No dedicated testbed,0 corridor miles,Adequate for current needs,SourcedBaseline,"Maintains two-center operations baseline and conservative research/testbed assumptions."
New Jersey,2002,facility_baseline_mock_v1,2,2,0,0,No dedicated testbed,0 corridor miles,Adequate for current needs,SourcedBaseline,"Maintains two-center operations baseline and conservative research/testbed assumptions."
New Jersey,2003,facility_baseline_mock_v1,2,2,0,0,No dedicated testbed,0 corridor miles,Adequate for current needs,SourcedBaseline,"Maintains two-center operations baseline and conservative research/testbed assumptions."
New Jersey,2004,facility_baseline_mock_v1,2,2,0,0,No dedicated testbed,0 corridor miles,Adequate for current needs,SourcedBaseline,"Maintains two-center operations baseline and conservative research/testbed assumptions."
New Jersey,2005,facility_baseline_mock_v1,2,2,0,0,No dedicated testbed,0 corridor miles,Adequate for current needs,SourcedBaseline,"Maintains two-center operations baseline and conservative research/testbed assumptions."
New Jersey,2006,facility_baseline_mock_v1,2,2,0,0,No dedicated testbed,0 corridor miles,Adequate for current needs,SourcedBaseline,"Maintains two-center operations baseline and conservative research/testbed assumptions."
New Jersey,2007,facility_baseline_mock_v1,2,2,0,0,No dedicated testbed,0 corridor miles,Adequate for current needs,SourcedBaseline,"Maintains two-center operations baseline and conservative research/testbed assumptions."
New Jersey,2008,facility_baseline_mock_v1,2,2,0,0,No dedicated testbed,0 corridor miles,Adequate for current needs,SourcedBaseline,"Maintains two-center operations baseline and conservative research/testbed assumptions."
New Jersey,2009,facility_baseline_mock_v1,2,2,0,0,No dedicated testbed,0 corridor miles,Adequate for current needs,SourcedBaseline,"Maintains two-center operations baseline and conservative research/testbed assumptions."
New Jersey,2010,facility_baseline_mock_v1,2,2,1,1,No dedicated testbed,0 corridor miles,Adequate for current needs,Estimated,"Adds university/research support and resource-center capability while keeping testbed assumptions conservative."
New Jersey,2011,facility_baseline_mock_v1,2,2,1,1,No dedicated testbed,0 corridor miles,Adequate for current needs,Estimated,"Maintains added research support and resource-center capability."
New Jersey,2012,facility_baseline_mock_v1,2,3,1,1,No dedicated testbed,0 corridor miles,Adequate for current needs,Estimated,"Adds statewide ITS maintenance/O&M support capacity."
New Jersey,2013,facility_baseline_mock_v1,2,3,1,1,No dedicated testbed,0 corridor miles,Adequate for current needs,Estimated,"Maintains statewide ITS maintenance/O&M support capacity."
New Jersey,2014,facility_baseline_mock_v1,2,3,1,1,No dedicated testbed,0 corridor miles,Adequate for current needs,Estimated,"Maintains statewide ITS maintenance/O&M support capacity."
New Jersey,2015,facility_baseline_mock_v1,2,3,1,1,No dedicated testbed,0 corridor miles,Strong and scalable,Estimated,"Operational support is modeled as stronger as statewide ITS operations mature."
New Jersey,2016,facility_baseline_mock_v1,2,3,1,1,No dedicated testbed,0 corridor miles,Strong and scalable,Estimated,"Operational support is modeled as stronger as statewide ITS operations mature."
New Jersey,2017,facility_baseline_mock_v1,2,3,1,1,Closed-course or limited pilot site,2 pilot intersections,Strong and scalable,ProgramEraEstimate,"Adds limited pilot/testing capability for recent ITS and CAV program-era work."
New Jersey,2018,facility_baseline_mock_v1,2,3,1,1,Closed-course or limited pilot site,2 pilot intersections,Strong and scalable,ProgramEraEstimate,"Maintains limited pilot/testing capability."
New Jersey,2019,facility_baseline_mock_v1,2,3,1,1,Closed-course or limited pilot site,3 pilot intersections,Strong and scalable,ProgramEraEstimate,"Pilot/testing coverage increases modestly."
New Jersey,2020,facility_baseline_mock_v1,2,3,1,1,Closed-course or limited pilot site,3 pilot intersections,Strong and scalable,ProgramEraEstimate,"Maintains two-center TOC baseline with modest pilot/testing capability."
New Jersey,2021,facility_baseline_mock_v1,2,3,1,1,Closed-course or limited pilot site,4 pilot intersections,Strong and scalable,ProgramEraEstimate,"Pilot/testing coverage increases modestly."
New Jersey,2022,facility_baseline_mock_v1,2,3,1,1,Closed-course or limited pilot site,4 pilot intersections,Strong and scalable,ProgramEraEstimate,"Maintains recent facility baseline with limited pilot/testing capability."
New Jersey,2023,facility_baseline_mock_v1,2,3,1,1,Closed-course or limited pilot site,4 pilot intersections,Strong and scalable,ProgramEraEstimate,"Current-year mock baseline with NJDOT two-center operations and conservative research/testbed capacity."
